range,coverage_fraction
150,0.17900040
151,0.18964015
152,0.19381097
153,0.20225685
154,0.19169665
155,0.19521965
156,0.19829890
157,0.20111971
158,0.20379170
159,0.19826321
160,0.20080263
161,0.20320637
162,0.20550544
163,0.20772001
164,0.21448633
165,0.22278404
166,0.22592098
167,0.22663875
168,0.22735381
169,0.22806443
170,0.22877082
171,0.22947316
172,0.23030836
173,0.23099670
174,0.23168171
175,0.23236353
176,0.23304228
177,0.23371810
178,0.23439107
179,0.23506132
180,0.23572893
181,0.23639400
182,0.23705663
183,0.23771689
184,0.23841101
185,0.23906268
186,0.24009381
187,0.24137302
188,0.24201163
189,0.24264871
190,0.24328476
191,0.24391935
192,0.24455250
193,0.24518426
194,0.24581508
195,0.24644455
196,0.24707272
197,0.24769999
198,0.24832601
199,0.25091779
200,0.25165218
201,0.25237822
202,0.25309654
203,0.27124312
204,0.27440836
205,0.27732910
206,0.28006354
207,0.28260674
208,0.28367246
209,0.28477011
210,0.27835385
211,0.28152372
212,0.28444737
213,0.28720856
214,0.29003385
215,0.29107628
216,0.29218808
217,0.29337320
218,0.28885669
219,0.29182168
220,0.29463226
221,0.29726103
222,0.29892979
223,0.30007729
224,0.30124041
225,0.29638403
226,0.29931677
227,0.30209754
228,0.30470550
229,0.30679062
230,0.30791220
231,0.30906155
232,0.28810459
233,0.29023771
234,0.29231815
235,0.29435186
236,0.29634507
237,0.29829957
238,0.29425883
239,0.29629433
240,0.29826715
241,0.30018690
242,0.30206040
243,0.30389492
244,0.29919261
245,0.30133180
246,0.30338879
247,0.30537921
248,0.30731344
249,0.30919945
250,0.31104419
251,0.31061793
252,0.31465750
253,0.31817218
254,0.32066923
255,0.32309359
256,0.32502065
257,0.32610772
258,0.32871442
259,0.32933545
260,0.32599732
261,0.32673874
262,0.33152104
263,0.33379639
264,0.32904616
265,0.33132836
266,0.33353472
267,0.33567461
268,0.33777900
269,0.33985041
270,0.34186822
271,0.34374652
272,0.34560035
273,0.34485472
274,0.34677373
275,0.34866407
276,0.34720127
277,0.34920090
278,0.35116226
279,0.34877914
280,0.35092494
281,0.35301138
282,0.35504673
283,0.35144437
284,0.35376721
285,0.35599359
286,0.35814179
287,0.36022448
288,0.37957074
289,0.38349523
290,0.38741525
291,0.39055302
292,0.39368235
293,0.38959996
294,0.39263183
295,0.40238566
296,0.40989956
297,0.41527116
298,0.41997363
299,0.42429026
300,0.42834271
301,0.43219813
302,0.43602525
303,0.43980906
304,0.44215576
305,0.43595843
306,0.43935346
307,0.44247324
308,0.44574510
309,0.44884434
310,0.41736765
311,0.41988314
312,0.42238067
313,0.42486100
314,0.42732482
315,0.42981946
316,0.43234278
317,0.43485053
318,0.43324701
319,0.43577347
320,0.43828356
321,0.44077789
322,0.44325708
323,0.44572166
324,0.45457448
325,0.46114402
326,0.44924360
327,0.45142529
328,0.45355459
329,0.45926052
330,0.46178856
331,0.46792017
332,0.47355608
333,0.47243198
334,0.47385353
335,0.47527077
336,0.47668383
337,0.47809280
338,0.47949778
339,0.48393754
340,0.48530462
341,0.48666857
342,0.48802946
343,0.48938734
344,0.49074229
345,0.49476248
346,0.49608746
347,0.49741006
348,0.49873032
349,0.50004829
350,0.50136400
351,0.50546148
352,0.50694786
353,0.50843034
354,0.50990793
355,0.51138179
356,0.51285147
357,0.51726574
358,0.51869304
359,0.52011696
360,0.52153756
361,0.52295491
362,0.52436905
363,0.52821364
364,0.52959399
365,0.53097168
366,0.53234718
367,0.53371968
368,0.53508965
369,0.53645755
370,0.53979781
371,0.54114846
372,0.54252968
373,0.54390815
374,0.54528350
375,0.55226039
376,0.55387664
377,0.55577822
378,0.55776235
379,0.55973017
380,0.57525133
381,0.57736111
382,0.57945540
383,0.58152935
384,0.58358359
385,0.58562457
386,0.58764611
387,0.58968446
388,0.59174079
389,0.59368021
390,0.59563980
391,0.59758698
392,0.59983546
393,0.60227846
394,0.60473612
395,0.61022179
396,0.61571378
397,0.62036470
398,0.62493781
399,0.62925787
400,0.63300681
401,0.63796928
402,0.64201243
403,0.64548630
404,0.64732089
405,0.66505998
406,0.66908079
407,0.67196480
408,0.67350527
409,0.67498533
410,0.67658019
411,0.67816450
412,0.67950445
413,0.68112863
414,0.68273075
415,0.68422250
416,0.68577994
417,0.68753826
418,0.68907548
419,0.69068798
420,0.69182885
421,0.69352017
422,0.69512139
423,0.69671387
424,0.69829379
425,0.69987239
426,0.70144160
427,0.70300152
428,0.70455259
429,0.70609520
430,0.70762969
431,0.70698038
432,0.70852457
433,0.71006837
434,0.71159868
435,0.71308507
436,0.71464911
437,0.71620172
438,0.71748030
439,0.71841873
440,0.71935123
441,0.72027799
442,0.71786203
443,0.71881907
444,0.71976980
445,0.72071410
446,0.72165189
447,0.72258400
448,0.72351062
449,0.72443131
450,0.71417184
451,0.71489621
452,0.71561083
453,0.71631614
454,0.71701256
455,0.71770047
456,0.71838056
457,0.71905283
458,0.71528210
459,0.71600575
460,0.72102538
461,0.72166960
462,0.72230706
463,0.72293830
464,0.72356355
465,0.72418331
466,0.73349197
467,0.73455334
468,0.73561218
469,0.82648176
470,0.82779542
471,0.82903619
472,0.83018073
473,0.83140511
474,0.83252744
475,0.83359438
476,0.83449044
477,0.83533473
478,0.83616734
479,0.83671540
480,0.83669016
481,0.83705076
482,0.83740593
483,0.83775604
484,0.83810142
485,0.79596446
486,0.79779272
487,0.80003448
488,0.80223670
489,0.80440196
490,0.80653304
491,0.80859494
492,0.84397110
493,0.84371819
494,0.84479953
495,0.84668619
496,0.84670497
497,0.84815570
498,0.84860400
499,0.85004721
500,0.84785792
501,0.84727434
502,0.84836080
503,0.85045922
504,0.85026224
505,0.85342613
506,0.85216324
507,0.84934009
508,0.85056895
509,0.85081338
510,0.85190122
511,0.85337802
512,0.85380467
513,0.85488540
514,0.85240490
515,0.85285438
516,0.85411004
517,0.85433816
518,0.85542733
519,0.86044268
520,0.86003315
521,0.85842183
522,0.85991571
523,0.86032691
524,0.86343656
525,0.86223162
526,0.86375185
527,0.86413596
528,0.86835204
529,0.86603974
530,0.86685583
531,0.86829451
532,0.86875894
533,0.86957502
534,0.87039065
535,0.87234279
536,0.87229349
537,0.87310900
538,0.87392438
539,0.87473971
540,0.87615328
541,0.87737524
542,0.87744294
543,0.87827220
544,0.87908726
545,0.87990226
546,0.88071722
547,0.88153213
548,0.88234699
549,0.88316181
550,0.88397658
551,0.88479130
552,0.88560598
553,0.88642062
554,0.88723521
555,0.88804376
556,0.88885032
557,0.88958672
558,0.89022171
559,0.89081808
560,0.89147133
561,0.89215698
562,0.89271264
563,0.89335698
564,0.89400693
565,0.89460512
566,0.89532034
567,0.89594340
568,0.89653745
569,0.89715894
570,0.89776838
571,0.89842861
572,0.89905327
573,0.89967760
574,0.90038199
575,0.90098959
576,0.90160221
577,0.90221523
578,0.90270365
579,0.90332129
580,0.90401563
581,0.90461069
582,0.90524362
583,0.90581763
584,0.90634444
585,0.90695511
586,0.90764265
587,0.90816446
588,0.90877030
589,0.90936668
590,0.90997849
591,0.91057997
592,0.91126539
593,0.91176575
594,0.91245585
595,0.91297275
596,0.91367959
597,0.91426437
598,0.91488046
599,0.91547211
600,0.91608820
601,0.91666086
602,0.91717115
603,0.91787804
604,0.91848669
605,0.91896785
606,0.91967430
607,0.92028117
608,0.92087401
609,0.92147486
610,0.92204775
611,0.92256168
612,0.92325892
613,0.92384889
614,0.92435061
615,0.92504481
616,0.92562647
617,0.92618484
618,0.92667075
619,0.92715473
620,0.92760677
621,0.92812696
622,0.92861142
623,0.92904004
624,0.92720875
625,0.92748028
626,0.92775180
627,0.92802332
628,0.92983491
629,0.93010619
630,0.93037747
631,0.93064874
632,0.93092001
633,0.93119075
634,0.93146201
635,0.93173327
636,0.93200452
637,0.93227577
638,0.93254701
639,0.93281826
640,0.93308950
641,0.93336073
642,0.93363196
643,0.93390319
644,0.93417441
645,0.93290989
646,0.93007422
647,0.92877476
648,0.92904695
649,0.93088996
650,0.93426702
651,0.93607288
652,0.93634408
653,0.94041904
654,0.94068987
655,0.94096070
656,0.94303205
657,0.94330276
658,0.94357346
659,0.94563907
660,0.94590967
661,0.94618027
662,0.94823967
663,0.94851017
664,0.94878067
665,0.95021829
666,0.95095356
667,0.95137425
668,0.95164466
669,0.95191508
670,0.95218549
671,0.95293332
672,0.95368629
673,0.95443770
674,0.95502219
675,0.95531382
676,0.95558415
677,0.95585449
678,0.95639353
679,0.95714721
680,0.95789933
681,0.95862011
682,0.95897632
683,0.95924659
684,0.95951685
685,0.96130880
686,0.96158116
687,0.96185351
688,0.96212585
689,0.95800247
690,0.96063371
691,0.96317498
692,0.96497038
693,0.96524284
694,0.95973504
695,0.96058510
696,0.96185848
697,0.96446065
698,0.96697803
699,0.96863054
700,0.96373122
701,0.96458675
702,0.96543957
703,0.96628938
704,0.96713592
705,0.96949822
706,0.97010656
707,0.97037879
708,0.97065102
709,0.97092324
710,0.97119545
711,0.97146765
712,0.97173985
713,0.97296623
714,0.97323872
715,0.97351120
716,0.97378367
717,0.97405614
718,0.97432860
719,0.97460106
720,0.97584613
721,0.97611889
722,0.97639164
723,0.97666438
724,0.97693711
725,0.97720984
726,0.97748256
727,0.97868583
728,0.97895887
729,0.97923190
730,0.97950492
731,0.97977793
732,0.98005093
733,0.98032392
734,0.98151593
735,0.98178925
736,0.98206257
737,0.98233587
738,0.98260917
739,0.98288245
740,0.98315573
741,0.98430620
742,0.98457982
743,0.98485343
744,0.98512703
745,0.98540062
746,0.98567420
747,0.98572986
748,0.98600264
749,0.98627542
750,0.98654819
751,0.98682095
752,0.98709370
753,0.98736645
754,0.98763919
755,0.98791192
756,0.98818465
757,0.98845737
758,0.98873008
759,0.98900278
760,0.98927548
761,0.98954817
762,0.98982085
763,0.99009353
764,0.99036620
765,0.99063886
766,0.99064320
767,0.99065550
768,0.99062133
769,0.99056786
770,0.99084217
771,0.99077040
772,0.99104465
773,0.99131942
774,0.99122935
775,0.99150461
776,0.99177986
777,0.99205510
778,0.99194678
779,0.99222252
780,0.99249826
781,0.99277397
782,0.99304968
783,0.99292430
784,0.99320053
785,0.99347675
786,0.99375295
787,0.99368949
788,0.99396612
789,0.99424272
790,0.99451931
791,0.99479589
792,0.99454969
793,0.99482683
794,0.99510395
795,0.99538105
796,0.99511734
797,0.99539503
798,0.99567269
799,0.99595034
800,0.99566949
801,0.99594774
802,0.99622596
803,0.99650417
804,0.99678236
805,0.99648509
806,0.99676390
807,0.99704269
808,0.99732145
809,0.99700750
810,0.99728690
811,0.99756629
812,0.99784537
813,0.99812470
814,0.99779456
815,0.99807455
816,0.99835452
817,0.99863446
818,0.99891438
819,0.99856789
820,0.99884848
821,0.99912905
822,0.99940959
823,0.99904640
824,0.99932764
825,0.99960885
826,0.99989003
827,1.00000000
828,0.99979238
829,1.00000000
830,1.00000000
831,1.00000000
832,1.00000000
833,1.00000000
834,1.00000000
835,1.00000000
836,1.00000000
837,1.00000000
838,1.00000000
839,1.00000000
840,1.00000000
841,1.00000000
842,1.00000000
843,1.00000000
844,1.00000000
845,1.00000000
846,1.00000000
847,1.00000000
848,1.00000000
849,1.00000000
850,1.00000000
851,1.00000000
852,1.00000000
853,1.00000000
854,1.00000000
855,1.00000000
856,1.00000000
857,1.00000000
858,1.00000000
859,1.00000000
860,1.00000000
861,1.00000000
862,1.00000000
863,1.00000000
864,1.00000000
865,1.00000000
866,1.00000000
867,1.00000000
868,1.00000000
869,1.00000000
870,1.00000000
871,1.00000000
872,1.00000000
873,1.00000000
874,1.00000000
875,1.00000000
876,1.00000000
877,1.00000000
878,1.00000000
879,1.00000000
880,1.00000000
881,1.00000000
882,1.00000000
883,1.00000000
884,1.00000000
885,1.00000000
886,1.00000000
887,1.00000000
888,1.00000000
889,1.00000000
890,1.00000000
891,1.00000000
892,1.00000000
893,1.00000000
894,1.00000000
895,1.00000000
896,1.00000000
897,1.00000000
898,1.00000000
899,1.00000000
900,1.00000000
901,1.00000000
902,1.00000000
903,1.00000000
904,1.00000000
905,1.00000000
906,1.00000000
907,1.00000000
908,1.00000000
909,1.00000000
910,1.00000000
911,1.00000000
912,1.00000000
913,1.00000000
914,1.00000000
915,1.00000000
916,1.00000000
917,1.00000000
918,1.00000000
919,1.00000000
920,1.00000000
921,1.00000000
922,1.00000000
923,1.00000000
924,1.00000000
925,1.00000000
926,1.00000000
927,1.00000000
928,1.00000000
929,1.00000000
930,1.00000000
931,1.00000000
932,1.00000000
933,1.00000000
934,1.00000000
935,1.00000000
936,1.00000000
937,1.00000000
938,1.00000000
939,1.00000000
940,1.00000000
941,1.00000000
942,1.00000000
943,1.00000000
944,1.00000000
945,1.00000000
946,1.00000000
947,1.00000000
948,1.00000000
949,1.00000000
950,1.00000000
951,1.00000000
952,1.00000000
953,1.00000000
954,1.00000000
955,1.00000000
956,1.00000000
957,1.00000000
958,1.00000000
959,1.00000000
960,1.00000000
961,1.00000000
962,1.00000000
963,1.00000000
964,1.00000000
965,1.00000000
966,1.00000000
967,1.00000000
968,1.00000000
969,1.00000000
970,1.00000000
971,1.00000000
972,1.00000000
973,1.00000000
974,1.00000000
975,1.00000000
976,1.00000000
977,1.00000000
978,1.00000000
979,1.00000000
980,1.00000000
981,1.00000000
982,1.00000000
983,1.00000000
984,1.00000000
985,1.00000000
986,1.00000000
987,1.00000000
988,1.00000000
989,1.00000000
990,1.00000000
991,1.00000000
992,1.00000000
993,1.00000000
994,1.00000000
995,1.00000000
996,1.00000000
997,1.00000000
998,1.00000000
999,1.00000000
1000,1.00000000
1001,1.00000000
1002,1.00000000
1003,1.00000000
1004,1.00000000
1005,1.00000000
1006,1.00000000
1007,1.00000000
1008,1.00000000
1009,1.00000000
1010,1.00000000
1011,1.00000000
1012,1.00000000
1013,1.00000000
1014,1.00000000
1015,1.00000000
1016,1.00000000
1017,1.00000000
1018,1.00000000
1019,1.00000000
1020,1.00000000
1021,1.00000000
1022,1.00000000
1023,1.00000000
1024,1.00000000
1025,1.00000000
1026,1.00000000
1027,1.00000000
1028,1.00000000
1029,1.00000000
1030,1.00000000
1031,1.00000000
1032,1.00000000
1033,1.00000000
1034,1.00000000
1035,1.00000000
1036,1.00000000
1037,1.00000000
1038,1.00000000
1039,1.00000000
1040,1.00000000
1041,1.00000000
1042,1.00000000
1043,1.00000000
1044,1.00000000
1045,1.00000000
1046,1.00000000
1047,1.00000000
1048,1.00000000
1049,1.00000000
1050,1.00000000
1051,1.00000000
1052,1.00000000
1053,1.00000000
1054,1.00000000
1055,1.00000000
1056,1.00000000
1057,1.00000000
1058,1.00000000
1059,1.00000000
1060,1.00000000
1061,1.00000000
1062,1.00000000
1063,1.00000000
1064,1.00000000
1065,1.00000000
1066,1.00000000
1067,1.00000000
1068,1.00000000
1069,1.00000000
1070,1.00000000
1071,1.00000000
1072,1.00000000
1073,1.00000000
1074,1.00000000
1075,1.00000000
1076,1.00000000
1077,1.00000000
1078,1.00000000
1079,1.00000000
1080,1.00000000
1081,1.00000000
1082,1.00000000
1083,1.00000000
1084,1.00000000
1085,1.00000000
1086,1.00000000
1087,1.00000000
1088,1.00000000
1089,1.00000000
1090,1.00000000
1091,1.00000000
1092,1.00000000
1093,1.00000000
1094,1.00000000
1095,1.00000000
1096,1.00000000
1097,1.00000000
1098,1.00000000
1099,1.00000000
1100,1.00000000
1101,1.00000000
1102,1.00000000
1103,1.00000000
1104,1.00000000
1105,1.00000000
1106,1.00000000
1107,1.00000000
1108,1.00000000
1109,1.00000000
1110,1.00000000
1111,1.00000000
1112,1.00000000
1113,1.00000000
1114,1.00000000
1115,1.00000000
1116,1.00000000
1117,1.00000000
1118,1.00000000
1119,1.00000000
1120,1.00000000
1121,1.00000000
1122,1.00000000
1123,1.00000000
1124,1.00000000
1125,1.00000000
1126,1.00000000
1127,1.00000000
1128,1.00000000
1129,1.00000000
1130,1.00000000
1131,1.00000000
1132,1.00000000
1133,1.00000000
1134,1.00000000
1135,1.00000000
1136,1.00000000
1137,1.00000000
1138,1.00000000
1139,1.00000000
1140,1.00000000
1141,1.00000000
1142,1.00000000
1143,1.00000000
1144,1.00000000
1145,1.00000000
1146,1.00000000
1147,1.00000000
1148,1.00000000
1149,1.00000000
1150,1.00000000
1151,1.00000000
1152,1.00000000
1153,1.00000000
1154,1.00000000
1155,1.00000000
1156,1.00000000
1157,1.00000000
1158,1.00000000
1159,1.00000000
1160,1.00000000
1161,1.00000000
1162,1.00000000
1163,1.00000000
1164,1.00000000
1165,1.00000000
1166,1.00000000
1167,1.00000000
1168,1.00000000
1169,1.00000000
1170,1.00000000
1171,1.00000000
1172,1.00000000
1173,1.00000000
1174,1.00000000
1175,1.00000000
1176,1.00000000
1177,1.00000000
1178,1.00000000
1179,1.00000000
1180,1.00000000
1181,1.00000000
1182,1.00000000
1183,1.00000000
1184,1.00000000
1185,1.00000000
1186,1.00000000
1187,1.00000000
1188,1.00000000
1189,1.00000000
1190,1.00000000
1191,1.00000000
1192,1.00000000
1193,1.00000000
1194,1.00000000
1195,1.00000000
1196,1.00000000
1197,1.00000000
1198,1.00000000
1199,1.00000000
1200,1.00000000
1201,1.00000000
1202,1.00000000
1203,1.00000000
1204,1.00000000
1205,1.00000000
1206,1.00000000
1207,1.00000000
1208,1.00000000
1209,1.00000000
1210,1.00000000
1211,1.00000000
1212,1.00000000
1213,1.00000000
1214,1.00000000
1215,1.00000000
1216,1.00000000
1217,1.00000000
1218,1.00000000
1219,1.00000000
1220,1.00000000
1221,1.00000000
1222,1.00000000
1223,1.00000000
1224,1.00000000
1225,1.00000000
1226,1.00000000
1227,1.00000000
1228,1.00000000
1229,1.00000000
1230,1.00000000
1231,1.00000000
1232,1.00000000
1233,1.00000000
1234,1.00000000
1235,1.00000000
1236,1.00000000
1237,1.00000000
1238,1.00000000
1239,1.00000000
1240,1.00000000
1241,1.00000000
1242,1.00000000
1243,1.00000000
1244,1.00000000
1245,1.00000000
1246,1.00000000
1247,1.00000000
1248,1.00000000
1249,1.00000000
1250,1.00000000
1251,1.00000000
1252,1.00000000
1253,1.00000000
1254,1.00000000
1255,1.00000000
1256,1.00000000
1257,1.00000000
1258,1.00000000
1259,1.00000000
1260,1.00000000
1261,1.00000000
1262,1.00000000
1263,1.00000000
1264,1.00000000
1265,1.00000000
1266,1.00000000
1267,1.00000000
1268,1.00000000
1269,1.00000000
1270,1.00000000
1271,1.00000000
1272,1.00000000
1273,1.00000000
1274,1.00000000
1275,1.00000000
1276,1.00000000
1277,1.00000000
1278,1.00000000
1279,1.00000000
1280,1.00000000
1281,1.00000000
1282,1.00000000
1283,1.00000000
1284,1.00000000
1285,1.00000000
1286,1.00000000
1287,1.00000000
1288,1.00000000
1289,1.00000000
1290,1.00000000
1291,1.00000000
1292,1.00000000
1293,1.00000000
1294,1.00000000
1295,1.00000000
1296,1.00000000
1297,1.00000000
1298,1.00000000
1299,1.00000000
1300,1.00000000
1301,1.00000000
1302,1.00000000
1303,1.00000000
1304,1.00000000
1305,1.00000000
1306,1.00000000
1307,1.00000000
1308,1.00000000
1309,1.00000000
1310,1.00000000
1311,1.00000000
1312,1.00000000
1313,1.00000000
1314,1.00000000
1315,1.00000000
1316,1.00000000
1317,1.00000000
1318,1.00000000
1319,1.00000000
1320,1.00000000
1321,1.00000000
1322,1.00000000
1323,1.00000000
1324,1.00000000
1325,1.00000000
1326,1.00000000
1327,1.00000000
1328,1.00000000
1329,1.00000000
1330,1.00000000
1331,1.00000000
1332,1.00000000
1333,1.00000000
1334,1.00000000
1335,1.00000000
1336,1.00000000
1337,1.00000000
1338,1.00000000
1339,1.00000000
1340,1.00000000
1341,1.00000000
1342,1.00000000
1343,1.00000000
1344,1.00000000
1345,1.00000000
1346,1.00000000
1347,1.00000000
1348,1.00000000
1349,1.00000000
1350,1.00000000
1351,1.00000000
1352,1.00000000
1353,1.00000000
1354,1.00000000
1355,1.00000000
1356,1.00000000
1357,1.00000000
1358,1.00000000
1359,1.00000000
1360,1.00000000
1361,1.00000000
1362,1.00000000
1363,1.00000000
1364,1.00000000
1365,1.00000000
1366,1.00000000
1367,1.00000000
1368,1.00000000
1369,1.00000000
1370,1.00000000
1371,1.00000000
1372,1.00000000
1373,1.00000000
1374,1.00000000
1375,1.00000000
1376,1.00000000
1377,1.00000000
1378,1.00000000
1379,1.00000000
1380,1.00000000
1381,1.00000000
1382,1.00000000
1383,1.00000000
1384,1.00000000
1385,1.00000000
1386,1.00000000
1387,1.00000000
1388,1.00000000
1389,1.00000000
1390,1.00000000
1391,1.00000000
1392,1.00000000
1393,1.00000000
1394,1.00000000
1395,1.00000000
1396,1.00000000
1397,1.00000000
1398,1.00000000
1399,1.00000000
1400,1.00000000
1401,1.00000000
1402,1.00000000
1403,1.00000000
1404,1.00000000
1405,1.00000000
1406,1.00000000
1407,1.00000000
1408,1.00000000
1409,1.00000000
1410,1.00000000
1411,1.00000000
1412,1.00000000
1413,1.00000000
1414,1.00000000
1415,1.00000000
1416,1.00000000
1417,1.00000000
1418,1.00000000
1419,1.00000000
1420,1.00000000
1421,1.00000000
1422,1.00000000
1423,1.00000000
1424,1.00000000
1425,1.00000000
1426,1.00000000
1427,1.00000000
1428,1.00000000
1429,1.00000000
1430,1.00000000
1431,1.00000000
1432,1.00000000
1433,1.00000000
1434,1.00000000
1435,1.00000000
1436,1.00000000
1437,1.00000000
1438,1.00000000
1439,1.00000000
1440,1.00000000
1441,1.00000000
1442,1.00000000
1443,1.00000000
1444,1.00000000
1445,1.00000000
1446,1.00000000
1447,1.00000000
1448,1.00000000
1449,1.00000000
1450,1.00000000
1451,1.00000000
1452,1.00000000
1453,1.00000000
1454,1.00000000
1455,1.00000000
1456,1.00000000
1457,1.00000000
1458,1.00000000
1459,1.00000000
1460,1.00000000
1461,1.00000000
1462,1.00000000
1463,1.00000000
1464,1.00000000
1465,1.00000000
1466,1.00000000
1467,1.00000000
1468,1.00000000
1469,1.00000000
1470,1.00000000
1471,1.00000000
1472,1.00000000
1473,1.00000000
1474,1.00000000
1475,1.00000000
1476,1.00000000
1477,1.00000000
1478,1.00000000
1479,1.00000000
1480,1.00000000
1481,1.00000000
1482,1.00000000
1483,1.00000000
1484,1.00000000
1485,1.00000000
1486,1.00000000
1487,1.00000000
1488,1.00000000
1489,1.00000000
1490,1.00000000
1491,1.00000000
1492,1.00000000
1493,1.00000000
1494,1.00000000
1495,1.00000000
1496,1.00000000
1497,1.00000000
1498,1.00000000
1499,1.00000000
1500,1.00000000
